deployer,n_launches
0xcd728a25ad7c1493e08a552b889bb06c69a02448,9
0xba3e75747468d5d1da3a101c88b48e309d3ab4d8,9
0x6a2df7a06e84cc6443f3207bb642d442ea78f4af,9
0xd82f1f42f6017ab0ca3079b24cb8e3a356241ca7,9
0xdd2bd917734a98332794f6a4b822b54cd86a96e1,9
0x275afa250f1f40a8f1320298b382516eef367d5c,9
0xee03361b0fff9170c51ced7f7a424ddc1a37436f,9
0x68802df3ebda6cdd00c023c52ff5d4758c0dc5c9,9
0x6811182d9a1d2a9374a65387ac50a60ecbe5fc2a,9
0xba1cb6dd7c694fe05ed529f578b752f5119ad3c4,9
0xa51e2310ca65b394887f79f973042feda7df7df3,9
0x139ba848d91ce9911163aff181afd9b450917c14,9
0x78e86c94cf456b520d2bd417219888d98e91f0fd,9
0xdabe478c538895752023e0dd938d3730bf1f3db4,9
0x3a8e5ba5aa9c2464c75621c2bffb9cf912db995d,9
0x5411c6fd8f679e0b1c8f71d1bc959a9ce62b4ba4,9
0xb83d79b2940ca4e636a65ba38b0e4c8450dcb6cb,9
0xb6415a5acfbefdf3b0023535592c426ee02eea5d,9
0xdadca49e762abb5c904223d73388eb9dcceba21c,9
0xd124f5c41210d6bb15608c8cc5acfaec30885131,9
0x1f59c12e96f5dbb8c301cc2376fe7a1e96d83dc7,9
0x1edbde2b64ab23e33fa462f4dd1d3fbdfd4dd0ed,9
0x9fd1a455d557b024538a8793f7c455909375214b,9
0x70915374a09136242c594a4d548e0fd484feb64b,9
0x9bb6c83f0813d028080cacd84568e2b956bbe7ec,9
0x7df9b1490583893e6c0a003561d323de7d119e90,9
0xe764648fddef0c0d5857a6b63812498ac57f61b2,9
0xd1fd0401d3a0a56bc8796c8ed334d297b7bb1c42,9
0x801d6c4018ccfca8fdbae560e44b91c70e0db624,9
0x34b891646d3a39228b6cf6fe6359698750075655,9
0xd266faa31eeed1245801162d70967dd9e9491784,9
0x7c91b53630b94b4a6c10d864d26af2616f1815a6,9
