executor,n_profitable_txs,total_profit_usd
344DAADDE53A81F95BCC46A99D39107A509251A1,522,184114.84874059894
197D0B8D520667F6A14CE98215C2F945E6CD3CCC,6,180491.24641966497
274DF4B14C38EAD735E44A687552EA0DE2ECD961,3,180180.92559224903
D71212997DF250D8CE78B53DB7E6B4E1B969CD24,1033,180016.26102412838
ADA5BB90D0DE0BD1B6F3938708F49295A8D1F7CB,472,178647.62418536266
E46B9E77A1A7B40FC2F972A30D09B485FE0C44F9,546,177041.99098687764
CFB481DAD0A5ACF826E317B4423EE6F0CD3876C4,167,175882.59312511768
2495B04056334175FF6C38724C79D25B260DDAED,12,174994.90843438238
D71212DBBEE6995E834DC0E732FA85B0B4212F1B,1063,173969.54098682266
F78310ED6641E6C4E221E9D676440AC8645D3AFE,2,173852.2624631666
6C89913B5C1528C1A3BEEE8467A2B277D1845B7F,13,171784.41742007813
87AEB03AEFEF5224513EBBC28EFF82FBCCD63298,760,171054.74299146287
511808449BE470EFAF4131838B2D4998500A6F72,464,170889.960555185
A5A5491BCA93DD4C076E4906E79E7673F4A5A142,483,170591.47397519505
D83E60D273FD0CB3B05C2611DB940FECB7B6CA64,486,169965.21424331522
D0D08887E8A5B16049534A7F3FC1DE92848F5BEA,76,168834.150612211
4E23424B3C635EC2CAD284787467B1700517421D,166,168230.802071924
D782268F600403843484B70710DAEE6846FC0DB8,442,166100.02490433064
059DF16BDCF8A6BD20BB4814518FF6A2DF3C7B11,451,166009.3094805793
73E01524AD6ACA1358D498ECF61731CE39FAF061,1,164151.14785423686
031DA5A0B0663AA1D4154BF42FCE0285BBAB11FC,17,163841.4668961135
67D698A325F29E17A9477F28BA4FE50F1CEC60E4,482,159560.76689439625
FDE88016A65B2371F2C6E4F698A0C79598E46435,511,158343.49785146935
CB0F8E62A219381A144FEF9E80236DA0CBA8BECA,141,156955.898514693
9BC462BCE2ACD6FBE2EF5470D55B439453451083,519,154177.98438944647
C78304ACDF1F0D62B51441A38E5C1BAB78F03F7A,152,153783.84832798687
7B444D22F099FD238210161791DE26D16C3CEDF2,213,152693.20156617102
3D17F1964549394EB710F4DBB5AC65333A94DDD1,12,151632.34259013634
B5AEC0E9EEA1B91575AF115D29369B2376DE2674,5,151059.93971547837
87EDC5258C6436E239AD851D05C52802EA27C19E,39,150215.9794418697
698DD6C03B50C3D4AF12932A0388338BCDD3AAED,474,149330.77721422756
