executor,n_profitable_txs,total_profit_usd
CBED1D8BC06C32C80E38A549DED2F0E4896A2AF3,2,68466.13592259206
24AA67F7E7FD31C03A4AF87228AD8569F53BC1C8,100,67838.56951888207
DA8EF690D9C9B6C7DB1A5F95943C838309306B03,223,67559.10541264089
A7B474644912D08210C8962564E2F53FD0A7D5CF,7,67188.55403105446
CF57BFBC6E4ACDA88147634148AB17CBBE875EE4,71,66995.16525110883
FFEC0DF753B6171E8CD6CF3D13D872C012242F00,4,66972.97260557782
0000000078A58B8C350632FBD500F8AE13EEBF4B,61,66923.46826403635
13F7C86F2BF36DAB35A75F0232E49E833D13BAD0,47,66917.170994198
8D10551FBB0DA1EADF34B25210FE75F278FA9321,25,66682.34776758528
2B60A5A2633F57950ED5A4D6A0556E119CC34DBE,115,66647.8222542124
20DBD10444DB7005DFA92218905D3E2A61A62CCC,7,66546.99211117989
98C20929ADE67C3B14D9535AC863AD94961CB50A,1,66386.06460686208
76C6C55146E7FE3F1E8BFE54F4C1761DD624E6F1,60,66250.75542235922
2C4C269183F4C463FF7DCFF12A28CBB7D822C36E,2,66115.72540375606
A69376F6CC35D911741F7E8C0659480A551CD1BC,21,65989.910131835
72E5DC60D7F7009E4DF877DC924EC02A9E580066,43,65978.07097999897
CD05C50D034DA234468AF40D402D0E1B7744AEA3,32,65826.98911591014
D7D0E2A8C7079036D44B238A9CA46F0D396415ED,67,65632.10596565613
D7D59A462D39DA514796AA2E05CE81A67CDC62EB,7,65607.567687
F75B48D0D9E097D351543B8D9525C3D83E0ABEC0,5,65457.27210037508
DFCD4F1163E046C87B1287EB34CB7930F7F85B82,58,65183.1498709311
40A12D67557B434E22F1469C900A80F25A56AFD3,29,65013.076544124444
