token,feed_addr,t_checkpoint,D,P_vwap,F_anchor,anchor_age_min,n_trades_pre,vol_usd_pre
SPY,0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,2026-07-25 17:00:00+00:00,-0.0012884525607837734,738.7825003020573,739.735,1356.25,16,1736.7218602974267
SPY,0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,2026-07-25 19:00:00+00:00,0.0014620077876159624,740.8172892956817,739.735,1476.25,437,44016.97262582004
SPY,0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,2026-07-25 20:00:00+00:00,0.0010081446877733128,740.4811359539142,739.735,1536.25,14,886.5247962165599
SPY,0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,2026-07-25 22:00:00+00:00,0.0025762080067066543,741.6431680934498,739.735,1656.25,15,2673.588233381994
SPY,0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,2026-07-25 23:00:00+00:00,0.0008515899723035373,740.3652192142571,739.735,1716.25,11,660.7196096036314
SPY,0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,2026-07-26 00:00:00+00:00,0.004307684316050209,742.9284180378058,739.735,1776.25,11,2234.21133520943
SPY,0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,2026-07-26 01:00:00+00:00,0.0033125679975572345,742.1894855684012,739.735,1836.25,13,1799.5018828798766
SPY,0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,2026-07-26 02:00:00+00:00,0.009912703630099901,747.1042380132965,739.735,1896.25,92,1794.2844507257394
SPY,0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,2026-07-26 03:00:00+00:00,0.0019363979847144073,741.1688091277534,739.735,1956.25,11,690.6295199730074
SPY,0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,2026-07-26 05:00:00+00:00,0.0010050168415127211,740.4788198463843,739.735,2076.25,30,1458.6363124378247
SPY,0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,2026-07-26 08:00:00+00:00,0.0038052153570178153,742.5552133386992,739.735,2256.25,32,1549.1194970954052
SPY,0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,2026-07-26 11:00:00+00:00,0.004609853711856424,743.1529421894669,739.735,2436.25,22,1980.6895330637203
SPY,0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,2026-07-26 12:00:00+00:00,-0.00026597019339550304,739.5382787011492,739.735,2496.25,23,32147.60105641416
SPY,0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,2026-07-26 13:00:00+00:00,0.0039480839391618314,742.6613087278611,739.735,2556.25,10,4914.961670733753
SPY,0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,2026-07-26 15:00:00+00:00,0.0035347424080065556,742.3543993989373,739.735,2676.25,13,625.6556859866619
SPY,0x78bcb218fa04b9b3a278ebc865ed320bf8defbac,2026-07-26 16:00:00+00:00,0.003045257326530055,741.991116913195,739.735,2736.25,37,1358.025258589246
